Site	Plant_species	Fruit_availability_avgWeek	Proportional_availability	Observed_frugivory_visits	Random_mean_visits	Random_SD_visits	Random_2.5Quant	Random_97.5Quant	Selection_strength	Pvalue
Argentina	Aristotelia_chilensis	2149	0.149644119	214	267.293	15.331	237	298	-3.476	0.001
Argentina	Azara_microphylla	2565.142857	0.178621937	888	319.189	16.217	288	350	35.075	0
Argentina	Galium_hypocarpium	642.4285714	0.044735066	2	79.903	8.831	63	98	-8.822	0
Argentina	Maytenus_boaria	551.7142857	0.03841824	562	68.716	8.135	53	85	60.637	0
Argentina	Prunus_avium	63.28571429	0.004406857	14	7.869	2.807	3	14	2.184	0.029
Argentina	Prunus_cerasus	629.8571429	0.043859664	68	78.359	8.685	62	96	-1.193	0.233
Argentina	Rubus_idaeus	3976.833333	0.276924021	7	494.946	18.855	457	532	-25.879	0
Argentina	Schinus_patagonicus	64.71428571	0.004506334	25	8.06	2.843	3	14	5.958	0
Argentina	Sorbus_aucuparia	98.33333333	0.006847373	1	12.192	3.454	6	19	-3.24	0.001
Argentina	Tristerix_corymbosus	3619.428571	0.252036389	6	450.472	18.483	415	487	-24.048	0
Brazil	Anonnacea_sp	4.75	0.000621259	1	0.343	0.589	0	2	1.115	0.265
Brazil	Byrsonima_coccolobifolia	894.1666667	0.116949249	68	64.227	7.565	49	79	0.499	0.618
Brazil	Erythroxylum_campestris	6.25	0.000817446	1	0.446	0.668	0	2	0.829	0.407
Brazil	Erythroxylum_suberosum	61.83333333	0.008087264	24	4.479	2.121	1	9	9.204	0
Brazil	Eugenia_2sp	5.833333333	0.000762949	1	0.425	0.649	0	2	0.886	0.376
Brazil	Lantana_camara	29	0.003792949	6	2.078	1.459	0	5	2.688	0.007
Brazil	Miconia_albicans	4333.833333	0.566827831	188	311.205	11.616	288	334	-10.606	0
Brazil	Miconia_sp	38.83333333	0.005079063	1	2.771	1.664	0	6	-1.064	0.287
Brazil	Myrcia_guianensis	430.6666667	0.056327467	72	30.929	5.446	21	42	7.541	0
Brazil	Myrcia_sp1	967	0.126475217	161	69.438	7.805	54.975	85	11.731	0
Brazil	Ocotea_1sp	15.66666667	0.002049064	1	1.128	1.061	0	4	-0.121	0.904
Brazil	Rubiaceae_sp	48.2	0.006304142	3	3.45	1.841	0	7	-0.244	0.807
Brazil	Schefflera_tuberosa	808.3333333	0.105722993	19	57.986	7.187	44	72	-5.425	0
Brazil	Smilax_1sp	1.4	0.000183108	3	0.096	0.313	0	1	9.278	0
Moyobamba	Bellucia_pentamera	8.222222222	0.000460288	3	0.65	0.813	0	3	2.891	0.004
Moyobamba	Cecropia_sp	115	0.006437811	790	9.078	3.003	4	15	260.047	0
Moyobamba	Clidemia_sp	23.22222222	0.001300002	3	1.826	1.35	0	5	0.87	0.384
Moyobamba	Clusia_sp	5.666666667	0.000317225	7	0.444	0.668	0	2	9.814	0
Moyobamba	Ficus_sp	64	0.003582782	5	5.038	2.246	1	10	-0.017	0.986
Moyobamba	Miconia_sp1	642.4444444	0.035964661	51	50.741	6.997	37	65	0.037	0.97
Moyobamba	Miconia_sp2	45.75	0.002561129	2	3.603	1.919	0	8	-0.835	0.404
Moyobamba	Miconia_sp3	296.1111111	0.016576586	11	23.411	4.767	15	33	-2.604	0.009
Moyobamba	Miconia_sp4	25	0.001399524	3	1.986	1.417	0	5	0.716	0.474
Moyobamba	Miconia_sp5	685.7142857	0.038386948	13	54.158	7.258	41	69	-5.671	0
Moyobamba	Miconia_sp6	61.5	0.003442829	4	4.885	2.194	1	10	-0.403	0.687
Moyobamba	Myrsine_sp	3862.888889	0.216248253	94	305.252	15.723	275	336	-13.436	0
Moyobamba	Nectandra_sp1	6002.888889	0.336047522	373	474.758	17.612	441	509	-5.778	0
Moyobamba	Schefflera_morototoni	3916.111111	0.219227685	24	309.561	15.612	279	340	-18.291	0
Moyobamba	Tetrorchidium_sp	1522.444444	0.085227911	28	120.228	10.619	100	141	-8.685	0
Moyobamba	Tococa_guianensis	586.25	0.032818842	1	46.382	6.698	34	60	-6.775	0
Oxapampa	Unknown	6.5	0.000442242	2	0.511	0.719	0	2	2.071	0.038
Oxapampa	Drypetes_sp	394.1666667	0.026818012	5	30.921	5.453	21	42	-4.754	0
Oxapampa	Antidaphne_sp	1213	0.082529171	38	95.349	9.416	77	114	-6.091	0
Oxapampa	Cavendishia_sp	71.33333333	0.004853323	3	5.636	2.364	2	11	-1.115	0.265
Oxapampa	Cecropia_sp1	78	0.005306905	151	6.146	2.45	2	11	59.124	0
Oxapampa	Cecropia_sp2	144	0.009797362	262	11.342	3.337	5	18	75.115	0
Oxapampa	Cissus_sp	47.66666667	0.003243108	5	3.725	1.925	1	8	0.662	0.508
Oxapampa	Clusia_sp2	175	0.011906517	13	13.739	3.66	7	21	-0.202	0.84
Oxapampa	Cornus_peruviana	1354.833333	0.092179119	27	106.399	9.803	88	126	-8.099	0
Oxapampa	Hedyosmum_translucidum	498.3333333	0.033905224	23	39.232	6.174	28	52	-2.629	0.009
Oxapampa	Marcgraviaceae_sp	62	0.004218309	1	4.867	2.202	1	10	-1.756	0.079
Oxapampa	Maytenus_sp	126.3333333	0.008595371	11	9.917	3.158	4	17	0.343	0.732
Oxapampa	Miconia_sp2	5730.666667	0.389898738	144	450.579	16.509	418	484	-18.57	0
Oxapampa	Miconia_sp3	227.5	0.015478472	22	17.855	4.215	10	27	0.983	0.326
Oxapampa	Miconia_sp4	365	0.024833592	9	28.575	5.258	19	39	-3.723	0
Oxapampa	Miconia_sp1	1944.166667	0.132275732	305	152.719	11.585	130	176	13.145	0
Oxapampa	Miconia_sp6	9.666666667	0.000657693	4	0.761	0.856	0	3	3.784	0
Oxapampa	Monnina_palida	7.666666667	0.000521619	1	0.602	0.779	0	2	0.511	0.609
Oxapampa	Orycthanthus_sp	250.8333333	0.017066007	1	19.751	4.47	12	29	-4.195	0
Oxapampa	Palicourea_obovata	49	0.003333825	3	3.84	1.965	1	8	-0.427	0.669
Oxapampa	Palicourea_sp1	218.3333333	0.014854797	1	17.112	4.092	10	26	-3.937	0
Oxapampa	Psychotria_sp1	220	0.014968193	3	17.35	4.132	10	26	-3.473	0.001
Oxapampa	Euphorbiaceae_sp	39.33333333	0.002676131	7	3.094	1.769	0	7	2.208	0.027
Oxapampa	Siparuna_tomentosa	49.33333333	0.003356504	1	3.862	1.962	1	8	-1.459	0.145
Oxapampa	Struthanthus_sp	907.5	0.061743794	42	71.299	8.188	56	88	-3.578	0
Oxapampa	Topobea_sp	507.6666667	0.034540238	71	39.816	6.334	28	53	4.923	0
Pennsylvania	Amelanchier_sp	240	0.002202958	34	1.411	1.179	0	4	27.641	0
Pennsylvania	Cornus_amomum	9927.5	0.09112445	1	58.192	7.208	44	72	-7.935	0
Pennsylvania	Cornus_racemosa	2480	0.022763902	7	14.521	3.792	8	22	-1.983	0.047
Pennsylvania	Crataegus_sp	843.75	0.007744775	32	4.941	2.225	1	10	12.161	0
Pennsylvania	Elaeagnus_umbellata	5806.25	0.053295526	3	34.098	5.728	23	46	-5.429	0
Pennsylvania	Lonicera_morrowii	78452.5	0.720114921	464	460.202	11.345	438	482	0.335	0.738
Pennsylvania	Prunus_serotina	6875	0.063105574	59	40.276	6.165	29	53	3.037	0.002
