Site	Plant_species	Bird_species	Fruit_availability_avgWeek	Observed_frugivory_visits	Random_mean_visits	Random_SD_visits	Random_2.5Quant	Random_97.5Quant	Selection_strength	Pvalue
Argentina	Aristotelia_chilensis	Anairetes_parulus	2149	4	21.4099	4.285524304	13	30	-4.062	0
Argentina	Azara_microphylla	Anairetes_parulus	2565.142857	7	25.58	4.532709404	17	35	-4.099	0
Argentina	Maytenus_sp_boaria	Anairetes_parulus	551.7142857	96	5.4595	2.268099243	2	10	39.919	0
Argentina	Prunus_avium	Anairetes_parulus	63.28571429	2	0.6416	0.795620978	0	3	1.707	0.088
Argentina	Prunus_cerasus	Anairetes_parulus	629.8571429	29	6.2423	2.440038133	2	11	9.327	0
Argentina	Schinus_patagonicus	Anairetes_parulus	64.71428571	5	0.6393	0.788325856	0	3	5.532	0
Argentina	Maytenus_sp_boaria	Aphrastura_spinicauda	551.7142857	9	0.4223	0.637654585	0	2	13.452	0
Argentina	Prunus_avium	Aphrastura_spinicauda	63.28571429	1	0.0476	0.220315896	0	1	4.323	0
Argentina	Prunus_cerasus	Aphrastura_spinicauda	629.8571429	1	0.4831	0.676431923	0	2	0.764	0.445
Argentina	Maytenus_sp_boaria	Colorhamphus_parvirostris	551.7142857	41	1.6759	1.284921901	0	5	30.604	0
Argentina	Prunus_cerasus	Colorhamphus_parvirostris	629.8571429	3	1.9364	1.366214366	0	5	0.779	0.436
Argentina	Prunus_avium	Curaeus_curaeus	63.28571429	3	0.0177	0.134121247	0	0	22.236	0
Argentina	Rubus_idaeus	Curaeus_curaeus	3976.833333	1	1.1091	0.893127627	0	3	-0.122	0.903
Argentina	Aristotelia_chilensis	Elaenia_albiceps	2149	208	226.8275	13.84540766	200	254	-1.36	0.174
Argentina	Azara_microphylla	Elaenia_albiceps	2565.142857	865	270.5479	14.77511205	242	300	40.233	0
Argentina	Maytenus_sp_boaria	Elaenia_albiceps	551.7142857	389	58.2324	7.443153249	44	73	44.439	0
Argentina	Prunus_avium	Elaenia_albiceps	63.28571429	5	6.6798	2.563538401	2	12	-0.655	0.512
Argentina	Prunus_cerasus	Elaenia_albiceps	629.8571429	18	66.6	8.01085622	51	83	-6.067	0
Argentina	Rubus_idaeus	Elaenia_albiceps	3976.833333	5	420.0277	17.37764457	386	455	-23.883	0
Argentina	Schinus_patagonicus	Elaenia_albiceps	64.71428571	20	6.859	2.581702058	2	12	5.09	0
Argentina	Tristerix_corymbosus	Elaenia_albiceps	3619.428571	6	381.898	16.8417327	350	415	-22.319	0
Argentina	Maytenus_sp_boaria	Melanodera_xanthogramma	551.7142857	1	0.0397	0.195263214	0	1	4.918	0
Argentina	Aristotelia_chilensis	Phrygilus_patagonicus	2149	2	4.4741	1.960947149	1	9	-1.262	0.207
Argentina	Azara_microphylla	Phrygilus_patagonicus	2565.142857	6	5.3671	2.07107859	2	10	0.306	0.76
Argentina	Galium_hypocarpium	Phrygilus_patagonicus	642.4285714	2	1.3357	1.132313439	0	4	0.587	0.557
Argentina	Maytenus_sp_boaria	Phrygilus_patagonicus	551.7142857	15	1.1541	1.06153939	0	4	13.043	0
Argentina	Prunus_cerasus	Phrygilus_patagonicus	629.8571429	5	1.3152	1.124622353	0	4	3.276	0.001
Argentina	Prunus_cerasus	Scelorchilus_rubecula	629.8571429	1	0.0442	0.205549471	0	1	4.65	0
Argentina	Maytenus_sp_boaria	Troglodytes_aedon	551.7142857	2	0.0784	0.273607248	0	1	7.023	0
Argentina	Azara_microphylla	Turdus_falcklandii	2565.142857	10	3.3903	1.653069622	1	7	3.998	0
Argentina	Prunus_avium	Turdus_falcklandii	63.28571429	3	0.0843	0.291207813	0	1	10.012	0
Argentina	Prunus_cerasus	Turdus_falcklandii	629.8571429	4	0.8519	0.908211911	0	3	3.466	0.001
Argentina	Rubus_idaeus	Turdus_falcklandii	3976.833333	1	5.2662	1.920860883	2	9	-2.221	0.026
Argentina	Sorbus_aucuparia	Turdus_falcklandii	98.33333333	1	0.1293	0.353827683	0	1	2.461	0.014
Argentina	Maytenus_sp_boaria	Xolmis_pyrope	551.7142857	9	0.6234	0.775133874	0	2	10.807	0
Argentina	Prunus_cerasus	Xolmis_pyrope	629.8571429	7	0.7027	0.828602057	0	3	7.6	0
Brazil	Lantana_camara	Camptostoma_obsoletum	29	1	0.0331	0.180575886	0	1	5.355	0
Brazil	Miconia_albicans	Camptostoma_obsoletum	4333.833333	6	4.5279	1.393992795	2	7	1.056	0.291
Brazil	Schefflera_tuberosa	Camptostoma_obsoletum	808.3333333	1	0.8547	0.878786172	0	3	0.165	0.869
Brazil	Byrsonima_coccolobifolia	Conirostrum_speciosum	894.1666667	1	0.9397	0.911453227	0	3	0.066	0.947
Brazil	Miconia_albicans	Conirostrum_speciosum	4333.833333	7	4.5198	1.412164077	2	7	1.756	0.079
Brazil	Miconia_albicans	Coryphospingus_cucullatus	4333.833333	11	7.9368	1.856111601	4	11	1.65	0.099
Brazil	Schefflera_tuberosa	Coryphospingus_cucullatus	808.3333333	3	1.4657	1.139540857	0	4	1.346	0.178
Brazil	Miconia_albicans	Cyanocorax_cristatellus	4333.833333	1	0.5644	0.495860089	0	1	0.878	0.38
Brazil	Byrsonima_coccolobifolia	Elaenia_sp	894.1666667	2	5.269	2.155435824	2	10	-1.517	0.129
Brazil	Erythroxylum_campestris	Elaenia_sp	6.25	1	0.0352	0.190695035	0	1	5.059	0
Brazil	Erythroxylum_suberosum	Elaenia_sp	61.83333333	2	0.3593	0.593833962	0	2	2.763	0.006
Brazil	Miconia_albicans	Elaenia_sp	4333.833333	15	25.5198	3.330483024	19	32	-3.159	0.002
Brazil	Myrcia_guianensis	Elaenia_sp	430.6666667	7	2.5245	1.532786578	0	6	2.92	0.004
Brazil	Myrcia_sp1	Elaenia_sp	967	9	5.7141	2.22949731	2	10	1.474	0.14
Brazil	Schefflera_tuberosa	Elaenia_sp	808.3333333	9	4.7594	2.037431411	1	9	2.081	0.037
Brazil	Byrsonima_coccolobifolia	Mimus_saturninus	894.1666667	6	1.416	1.121815425	0	4	4.086	0
Brazil	Erythroxylum_suberosum	Mimus_saturninus	61.83333333	2	0.0937	0.306479531	0	1	6.22	0
Brazil	Miconia_albicans	Mimus_saturninus	4333.833333	2	6.7749	1.721257175	3	10	-2.774	0.006
Brazil	Myrcia_guianensis	Mimus_saturninus	430.6666667	2	0.6797	0.803101742	0	3	1.644	0.1
Brazil	Miconia_albicans	Molothrus_bonariensis	4333.833333	1	0.5679	0.495392906	0	1	0.872	0.383
Brazil	Erythroxylum_suberosum	Myiarchus_ferox	61.83333333	2	0.0739	0.27027041	0	1	7.127	0
Brazil	Miconia_albicans	Myiarchus_ferox	4333.833333	4	5.1067	1.487123486	2	8	-0.744	0.457
